"Zeit";"Position";"Signalgeschwindigkeit"
8,252145;0,7593993;1,520278
8,253724;0,7618523;1,553299
8,255283;0,7642211;1,519538
8,256945;0,7665594;1,407627
8,258516;0,7690512;1,584593
8,260173;0,7714099;1,424443
8,261977;0,7738938;1,376701
8,266304;0,7766001;0,6253557
8,268067;0,7830915;3,682659
8,269736;0,7857355;1,584409
8,271316;0,7882388;1,585016
8,272872;0,7906077;1,521958
8,27445;0,7929425;1,47939
8,275996;0,7953098;1,531253
8,277574;0,7976288;1,469847
8,279129;0,7999953;1,521501
8,280702;0,8023284;1,483408
8,282459;0,8046876;1,342597
8,284061;0,8073234;1,645304
8,28567;0,8097264;1,493394
8,287329;0,81214;1,455134
8,288896;0,8146281;1,587695
8,290469;0,8169788;1,49455
8,292268;0,819338;1,311037
8,293914;0,8220372;1,640187
8,295557;0,8245057;1,502268
8,297163;0,8269705;1,535109
8,298794;0,8293789;1,476631
8,300388;0,8318254;1,534608
8,302061;0,8342167;1,42925
8,30369;0,8367263;1,541083
8,305347;0,8391691;1,473328
8,30696;0,8416561;1,542137
8,3086;0,8440751;1,475033
8,310261;0,8465351;1,481483
8,311947;0,8490259;1,477143
8,313575;0,8515552;1,554116
8,315243;0,8539965;1,462864
8,31688;0,8564997;1,529242
8,318418;0,858955;1,596978
8,322755;0,8612612;0,5317063
8,324627;0,8677673;3,474916
8,326241;0,8705758;1,739733
8,327806;0,8729972;1,547443
8,329383;0,8753444;1,489038
8,331016;0,8777089;1,447922
8,332677;0,8801584;1,474367
8,335594;0,8826505;0,8542297
8,337252;0,8870266;2,641464
8,33881;0,8895116;1,594096
8,340387;0,89185;1,482126
8,34212;0,8942165;1,365812
8,343719;0,8968156;1,625632
8,345437;0,8992138;1,396003
8,347013;0,9017906;1,635147
8,348585;0,9041545;1,50325
8,350179;0,9065132;1,480222
8,351893;0,9089035;1,394391
8,354065;0,9114748;1,183996
8,355913;0,9147323;1,76266
8,357783;0,9175045;1,482276
8,359561;0,9203098;1,577957
8,361248;0,9229765;1,580461
8,363101;0,9255074;1,366078
8,364771;0,9282865;1,664411
8,366501;0,930791;1,447536
8,368163;0,9333863;1,561368
8,369831;0,9358796;1,494797
8,371439;0,9383817;1,555985
8,372993;0,9407937;1,551638
8,374602;0,9431254;1,449903
8,376208;0,9455377;1,501319
8,380621;0,9479479;0,5462273
8,382426;0,9545665;3,665809
8,384074;0,9572748;1,644058
8,385725;0,9597458;1,496741
8,38737;0,9622221;1,50473
8,388961;0,9646906;1,552337
8,390539;0,9670759;1,510843
8,392099;0,9694442;1,517987
8,393684;0,9717843;1,476521
8,395216;0,9741616;1,552188
8,396733;0,976459;1,513839
8,398337;0,9787354;1,419215
8,399943;0,9811414;1,498319
8,401489;0,9835501;1,558716
8,403239;0,9858681;1,324022
8,404771;0,9884942;1,714587
8,406335;0,9907916;1,46949
8,407928;0,9931366;1,472026
8,409452;0,9955263;1,566688
8,41099;0,9978142;1,488662
8,412659;1,00012;1,381429
8,414269;1,002623;1,554273
8,415819;1,005038;1,558766
8,417516;1,007363;1,370373
8,419142;1,009908;1,564778
8,420862;1,012347;1,417927
8,422585;1,014928;1,497971
8,424197;1,017511;1,601799
8,42581;1,019931;1,500894
8,427403;1,022349;1,516754
8,428968;1,024741;1,528869
8,430516;1,027087;1,515879
8,432051;1,029409;1,512521
8,436437;1,031711;0,5250438
8,43812;1,038289;3,908084
8,439762;1,040814;1,536827
8,441289;1,043278;1,614237
8,443089;1,045568;1,27202
8,444761;1,048269;1,615416
8,446329;1,050776;1,598526
8,447885;1,053129;1,513153
8,449428;1,055461;1,511535
8,450975;1,057776;1,495662
8,45251;1,060097;1,512387
8,454044;1,0624;1,500331
8,455556;1,064702;1,523247
8,45709;1,066969;1,477008
8,45869;1,069271;1,439321
8,460187;1,07167;1,602061
8,461862;1,073916;1,341372
8,463403;1,076428;1,630442
8,465102;1,078739;1,359896
8,466664;1,081288;1,631317
8,468197;1,083631;1,529679
8,469811;1,08593;1,422866
8,471403;1,088353;1,522705
8,472976;1,090739;1,517457
8,474583;1,093099;1,468104
8,476132;1,09551;1,556162
8,477758;1,097833;1,428518
8,479322;1,100273;1,56031
8,480885;1,102619;1,501256
8,482553;1,104962;1,404395
8,484074;1,107465;1,646489
8,485603;1,109746;1,491285
8,48721;1,11204;1,426952
8,491446;1,114451;0,5692944
8,493076;1,120804;3,89651
8,494637;1,12325;1,567855
8,496165;1,12559;1,531008
8,497728;1,127882;1,466569
8,499519;1,130227;1,308667
8,501166;1,132914;1,632222
8,502916;1,135384;1,411463
8,504519;1,138009;1,636786
8,506106;1,140414;1,516075
8,507655;1,142794;1,536804
8,509191;1,145117;1,512116
8,510798;1,147421;1,433835
8,512357;1,149832;1,546677
8,513916;1,15217;1,499348
8,515498;1,154509;1,478512
8,517104;1,156882;1,477664
8,518722;1,159291;1,488974
8,520386;1,161717;1,458204
8,52219;1,164214;1,383496
8,523836;1,16692;1,644433
8,525525;1,169389;1,461378
8,527124;1,171923;1,584091
8,528765;1,174322;1,462898
8,530313;1,176782;1,588995
8,531933;1,179105;1,434222
8,53354;1,181534;1,511047
8,536353;1,183945;0,8573015
8,537962;1,188164;2,621271
8,539563;1,190578;1,508138
8,541175;1,192979;1,489968
8,542931;1,195397;1,376677
8,544473;1,198031;1,708424
8,548785;1,200344;0,5362442
8,550533;1,206813;3,700384
8,552155;1,209435;1,617473
8,553782;1,211867;1,494438
8,555382;1,214307;1,525602
8,556905;1,216707;1,5755
8,559361;1,218992;0,9304684
8,561243;1,222675;1,95676
8,562943;1,225499;1,659597
