Zeit;Kopf.x;Kopf.y;Kopf.z; Real.x; Real.y; Real.z
10,18756;0;1,75; 17,11542; 0; 1,75; 1,115418
10,18907;0;1,75; 17,11771; 0; 1,75; 1,117713
10,19059;0;1,75; 17,11998; 0; 1,75; 1,119977
10,19214;0;1,75; 17,12226; 0; 1,75; 1,122255
10,19366;0;1,75; 17,12458; 0; 1,75; 1,124582
10,19516;0;1,75; 17,12687; 0; 1,75; 1,126865
10,19672;0;1,75; 17,12912; 0; 1,75; 1,129117
10,19838;0;1,75; 17,13144; 0; 1,75; 1,131446
10,20014;0;1,75; 17,13395; 0; 1,75; 1,133945
10,20209;0;1,75; 17,13658; 0; 1,75; 1,136583
10,2038;0;1,75; 17,13951; 0; 1,75; 1,139507
10,20541;0;1,75; 17,14207; 0; 1,75; 1,142069
10,20734;0;1,75; 17,14449; 0; 1,75; 1,144492
10,20949;0;1,75; 17,14738; 0; 1,75; 1,147384
10,21146;0;1,75; 17,1506; 0; 1,75; 1,150599
10,21308;0;1,75; 17,15356; 0; 1,75; 1,153562
10,21464;0;1,75; 17,15599; 0; 1,75; 1,155986
10,21639;0;1,75; 17,15833; 0; 1,75; 1,158331
10,21813;0;1,75; 17,16095; 0; 1,75; 1,160949
10,2198;0;1,75; 17,16356; 0; 1,75; 1,163563
10,22137;0;1,75; 17,16607; 0; 1,75; 1,166073
10,22316;0;1,75; 17,16842; 0; 1,75; 1,168423
10,22488;0;1,75; 17,17111; 0; 1,75; 1,171109
10,22645;0;1,75; 17,17369; 0; 1,75; 1,173687
10,22811;0;1,75; 17,17605; 0; 1,75; 1,176049
10,22994;0;1,75; 17,17853; 0; 1,75; 1,178527
10,23192;0;1,75; 17,18128; 0; 1,75; 1,18128
10,23363;0;1,75; 17,18425; 0; 1,75; 1,184252
10,23531;0;1,75; 17,18681; 0; 1,75; 1,186808
10,23703;0;1,75; 17,18933; 0; 1,75; 1,189329
10,23875;0;1,75; 17,19192; 0; 1,75; 1,191916
10,24046;0;1,75; 17,19449; 0; 1,75; 1,194495
10,2424;0;1,75; 17,19705; 0; 1,75; 1,197052
10,24412;0;1,75; 17,19997; 0; 1,75; 1,199967
10,24585;0;1,75; 17,20255; 0; 1,75; 1,202555
10,24741;0;1,75; 17,20515; 0; 1,75; 1,205152
10,24898;0;1,75; 17,20749; 0; 1,75; 1,207492
10,2505;0;1,75; 17,20985; 0; 1,75; 1,209846
10,25214;0;1,75; 17,21212; 0; 1,75; 1,212124
10,2539;0;1,75; 17,21458; 0; 1,75; 1,214578
10,25626;0;1,75; 17,21722; 0; 1,75; 1,21722
10,25826;0;1,75; 17,22076; 0; 1,75; 1,220762
10,26;0;1,75; 17,22376; 0; 1,75; 1,223765
10,2618;0;1,75; 17,22638; 0; 1,75; 1,226376
