Zeit;Kopf.x;Kopf.y, Kopf.z; Real.x; Real.y; Real.z
1,296553;0;1,75, 0; 0; 1,75; 0
1,297992;0;1,75, 0; 0; 1,75; 0
1,299483;0;1,75, 0; 0; 1,75; 0
1,300989;0;1,75, 0; 0; 1,75; 0
1,302761;0;1,75, 0; 0; 1,75; 0
1,30434;0;1,75, 0; 0; 1,75; 0
1,305831;0;1,75, 0; 0; 1,75; 0
1,30727;0;1,75, 0; 0; 1,75; 0
1,308956;0;1,75, 0; 0; 1,75; 0
1,310442;0;1,75, 0; 0; 1,75; 0
1,311853;0;1,75, 0; 0; 1,75; 0
1,313337;0;1,75, 0; 0; 1,75; 0
1,314864;0;1,75, 0; 0; 1,75; 0
1,316335;0;1,75, 0; 0; 1,75; 0
1,317861;0;1,75, 0; 0; 1,75; 0
1,319342;0;1,75, 0; 0; 1,75; 0
1,320863;0;1,75, 0; 0; 1,75; 0
1,322536;0;1,75, 0; 0; 1,75; 0
1,324141;0;1,75, 0; 0; 1,75; 0
1,325628;0;1,75, 0; 0; 1,75; 0
1,327094;0;1,75, 0; 0; 1,75; 0
1,328619;0;1,75, 0; 0; 1,75; 0
1,330083;0;1,75, 0; 0; 1,75; 0
1,331555;0;1,75, 0; 0; 1,75; 0
1,333004;0;1,75, 0; 0; 1,75; 0
1,335909;0;1,75, 0; 0; 1,75; 0
1,337372;0;1,75, 0; 0; 1,75; 0
1,338914;0;1,75, 0; 0; 1,75; 0
1,343712;0;1,75, 0; 0; 1,75; 0
1,345702;0;1,75, 0; 0; 1,75; 0
1,347298;0;1,75, 0; 0; 1,75; 0
1,348785;0;1,75, 0; 0; 1,75; 0
1,350295;0;1,75, 0; 0; 1,75; 0
1,352041;0;1,75, 0; 0; 1,75; 0
1,353658;0;1,75, 0; 0; 1,75; 0
1,355171;0;1,75, 0; 0; 1,75; 0
1,356679;0;1,75, 0; 0; 1,75; 0
1,358259;0;1,75, 0; 0; 1,75; 0
1,359743;0;1,75, 0; 0; 1,75; 0
1,361112;0;1,75, 0; 0; 1,75; 0
1,362691;0;1,75, 0; 0; 1,75; 0
1,364349;0;1,75, 0; 0; 1,75; 0
1,365887;0;1,75, 0; 0; 1,75; 0
1,367341;0;1,75, 0; 0; 1,75; 0
1,368883;0;1,75, 0; 0; 1,75; 0
1,370408;0;1,75, 0; 0; 1,75; 0
1,371866;0;1,75, 0; 0; 1,75; 0
1,373344;0;1,75, 0; 0; 1,75; 0
1,375013;0;1,75, 0; 0; 1,75; 0
1,376535;0;1,75, 0; 0; 1,75; 0
1,378016;0;1,75, 0; 0; 1,75; 0
1,379503;0;1,75, 0; 0; 1,75; 0
1,381023;0;1,75, 0; 0; 1,75; 0
1,382735;0;1,75, 0; 0; 1,75; 0
1,384338;0;1,75, 0; 0; 1,75; 0
1,385804;0;1,75, 0; 0; 1,75; 0
1,387334;0;1,75, 0; 0; 1,75; 0
1,388825;0;1,75, 0; 0; 1,75; 0
1,390313;0;1,75, 0; 0; 1,75; 0
1,39198;0;1,75, 0; 0; 1,75; 0
1,393399;0;1,75, 0; 0; 1,75; 0
1,394897;0;1,75, 0; 0; 1,75; 0
1,39643;0;1,75, 0; 0; 1,75; 0
1,397915;0;1,75, 0; 0; 1,75; 0
1,399466;0;1,75, 0; 0; 1,75; 0
1,401001;0;1,75, 0; 0; 1,75; 0
1,402693;0;1,75, 0; 0; 1,75; 0
1,404113;0;1,75, 0; 0; 1,75; 0
1,405686;0;1,75, 0; 0; 1,75; 0
1,407216;0;1,75, 0; 0; 1,75; 0
1,408816;0;1,75, 0; 0; 1,75; 0
1,410268;0;1,75, 0; 0; 1,75; 0
1,411837;0;1,75, 0; 0; 1,75; 0
1,413236;0;1,75, 0; 0; 1,75; 0
1,41466;0;1,75, 0; 0; 1,75; 0
1,41612;0;1,75, 0; 0; 1,75; 0
1,417723;0;1,75, 0; 0; 1,75; 0
1,419201;0;1,75, 0; 0; 1,75; 0
1,420697;0;1,75, 0; 0; 1,75; 0
1,422374;0;1,75, 0; 0; 1,75; 0
1,424085;0;1,75, 0; 0; 1,75; 0
1,42562;0;1,75, 0; 0; 1,75; 0
1,427039;0;1,75, 0; 0; 1,75; 0
1,428405;0;1,75, 0; 0; 1,75; 0
1,429736;0;1,75, 0; 0; 1,75; 0
1,431164;0;1,75, 0; 0; 1,75; 0
1,432649;0;1,75, 0; 0; 1,75; 0
1,434208;0;1,75, 0; 0; 1,75; 0
1,435672;0;1,75, 0; 0; 1,75; 0
1,437126;0;1,75, 0; 0; 1,75; 0
1,438569;0;1,75, 0; 0; 1,75; 0
1,440081;0;1,75, 0; 0; 1,75; 0
1,441906;0;1,75, 0; 0; 1,75; 0
1,443413;0;1,75, 0; 0; 1,75; 0
1,445037;0;1,75, 0; 0; 1,75; 0
